1;1;(G43) Introducción al Lenguaje Matemático(*);17;32;36;29;26;57;62;85;
1;1;(G42) Álgebra Lineal I(*);16;31;22;19;21;46;53;67;
1;1;(G41) Cálculo Diferencial(*);16;32;24;22;25;47;52;71;
1;1;(G1725) Habilidades, Valores y Competencias Transversales(*);;;;;;56;45;63;
1;1;(G46) Física Básica Experimental;17;37;41;32;27;39;36;55;
1;2;(G47) Programación(*);16;32;29;28;27;49;63;;
1;2;(G44) Cálculo Integral(*);16;34;30;25;26;54;58;;
1;2;(G48) Estadística Básica(*);17;28;31;24;23;49;50;;
1;2;(G45) Geometría, Arte y Naturaleza;17;29;27;24;25;42;44;;
1;2;(G260) Inglés(*);16;29;24;22;23;30;22;;
2;1;(G83) Ecuaciones Diferenciales Ordinarias(*);;10;26;29;26;22;42;49;
2;1;(G84) Ampliación de Cálculo Diferencial(*);;9;23;22;22;28;42;47;
2;1;(G89) Álgebra Lineal II(*);;12;25;27;28;27;42;51;
2;1;(G95) Topología(*);;8;19;33;35;21;36;41;
2;1;(G93) Cálculo de Probabilidades;;12;26;28;23;25;34;47;
2;2;(G90) Estructuras Algebraicas(*);;9;24;30;33;36;45;;
2;2;(G85) Introducción a las Ecuaciones en Derivadas Parciales(*);;12;24;32;29;27;35;;
2;2;(G86) Ampliación de Cálculo Integral(*);;9;20;26;17;22;30;;
2;2;(G98) Cálculo Numérico I;;13;21;31;33;29;26;;
2;2;(G96) Geometría de Curvas y Superficies;;11;24;18;19;13;23;;
3;1;(G91) Teoría de Galois;;;4;8;18;29;29;36;
3;1;(G1752) Hilbert Spaces;;;5;11;23;22;23;25;
3;1;(G101) Discrete Mathematics;;;5;17;21;22;21;23;
3;1;(G99) Cálculo Numérico II;;;2;8;19;23;21;20;
3;1;(G97) Teoría Global de Superficies;;;6;16;13;27;16;20;
3;2;(G100) Optimización I;;;4;9;23;24;23;;
3;2;(G94) Statistical Inference;;;6;10;15;26;22;;
3;2;(G87) Variable Compleja;;;3;20;20;20;19;;
3;2;(G92) Álgebra Conmutativa;;;4;9;27;23;13;;
3;2;(G102) Taller de Modelización;;;4;14;19;20;10;;
4;1;(G106) Teoría Cualitativa de EDO;;;;4;9;6;18;8;
4;1;(G104) Análisis Funcional;;;;3;4;1;12;;
4;1;(G118) Economía y Administración de Empresas;;;;4;6;12;12;5;
4;1;(G108) Ampliación de Probabilidades;;;;3;4;7;11;7;
4;1;(G110) Variedades Diferenciables;;;;3;5;3;3;7;
4;1;(G111) Topología Algebraica;;;;6;1;;3;2;
4;1;(G107) Ampliación de Análisis;;;;4;2;1;1;;
4;1;(G120) Prácticas Externas I;;;;1;12;9;;;
4;2;(G105) Teoría de la Medida;;;;4;3;9;12;;
4;2;(G112) Geometría Proyectiva y Algebraica;;;;2;4;2;9;;
4;2;(G119) Matemáticas para la Educación Secundaria;;;;;9;12;9;;
4;2;(G109) Ampliación de Estadística;;;;1;1;1;8;;
4;2;(G116) Álgebra Computacional;;;;2;1;4;6;;
4;2;(G103) Trabajo Fin de Grado;;;;2;6;10;5;;
4;;(G218) Prácticas Externas II;;;;;11;8;;;
;;;;;;;;;;;
4;;(G1753) Numerical Analysis III;;;;;;1;;;
4;;(G271) Métodos de Programación(*);;;;;;75;;92;
4;;(G651) Estructuras de Datos(*);;;;;;61;;53;
4;;(G652) Algorítmica y Complejidad(*);;;;;;48;;73;
4;;(G655) Introducción a los Sistemas Inteligentes(*);;;;;;53;;50;
4;;(G680) Modelos de Cálculo(*);;;;;;19;;20;
4;;(G114) Cálculo Numérico III;;;;2;0;;;;
;;;;;;;;;;;
;;(*) Asignaturas del plan de estudios de Ingeniería Informática;;;;;;;;;
